property,property,property,property,0,0,0,0,0,0
name,FeH,N,fitness,mass,metallicity,rotation,explosion,remnant,offset
J1833+1309,-2.64,14,3.705204915244868,40.0,0.01,300.0,2,22.941127674545534,0.2356979735106769
J2114-0616,-2.55,15,6.770292391868567,120.0,0.01,0.0,2,102.809320935866,0.2790564196625953
J2159+0308,-2.83,15,3.503090491379344,40.0,0.01,300.0,4,22.941127674545534,0.1312351407068191
J2211+0454,-0.63,12,11.825639867322973,120.0,0.01,300.0,3,4.015056146879786,0.3057378702606978
J2216+0246,-2.56,16,4.085866861163499,30.0,0.01,0.0,4,29.86190385074956,0.3346614987210533
J2256+0215,-2.27,16,8.352262611686767,60.0,0.01,300.0,4,37.4181421706636,0.3108083075925334
J2257+3859,-2.65,15,9.809021830908875,30.0,0.01,0.0,4,29.86190385074956,0.2876129160747979
J2333+0505,-2.43,16,6.607657912757625,30.0,0.01,0.0,4,29.86190385074956,0.38691422052524244
J2347+2851,-2.36,16,10.64235790803104,30.0,0.01,0.0,4,29.86190385074956,0.4634125285618707
J2349+3119,-2.01,16,4.430503147838412,30.0,0.01,0.0,2,29.86190385074956,0.8974351275901671
