property,property,property,property,0,0,0,0,0,0
name,FeH,N,fitness,mass,metallicity,rotation,explosion,remnant,offset
J0824+3025,-2.72,4,-9.175340270466615,13.0,0.001,300.0,1,1.8905787842388193,0.019727355760027224
J0934-0108,-2.34,8,25.43172948189462,30.0,0.001,150.0,1,3.300022507675891,0.018879499547377148
J0948+0000,-2.79,7,21.97653691720404,80.0,0.01,300.0,4,47.00710705660149,0.9999999999999858
J0949+2707,-2.9,7,2.6826920960694682,13.0,0.01,300.0,3,2.150598951132423,0.008197247260432796
J1003-0358,-2.18,8,6.90747536883509,13.0,0.01,300.0,3,2.150598951132423,0.004153772398724233
J1005-0350,-2.29,7,50.31822363115744,30.0,0.01,0.0,4,29.86190385074956,0.6011135788084754
J1011+3524,-2.25,7,6.687396061086484,15.0,0.01,300.0,3,2.413726720745707,0.0026152499276580676
J1020+4046,-2.94,7,21.326864192063493,13.0,0.01,300.0,3,2.150598951132423,0.0010883287002076611
J1044+3713,-2.03,8,9.220574562472935,15.0,0.001,300.0,1,2.313863047850086,0.007796603046752255
J1044-0358,-2.13,8,7.194693630914931,13.0,0.01,300.0,1,2.0519462064664005,0.003464532254946115
J1058-0138,-2.28,7,8.583740152334746,15.0,0.01,300.0,1,2.2177436038999403,0.001790615209645584
J1059+0208,-2.3,7,18.958001012956714,30.0,0.01,0.0,4,29.86190385074956,0.9999999999999858
J1101+2031,-2.52,8,13.820558621200206,30.0,0.01,0.0,2,29.86190385074956,0.2635567083441403
J1102+0102,-2.32,8,24.33174866226584,30.0,0.01,0.0,4,29.86190385074956,0.6467030554803669
J1109+0754,-3.31,8,4.469673745772254,60.0,0.01,0.0,2,59.61755581029563,0.15595539049128748
J1122+1223,-2.3,7,28.801727369135502,30.0,0.01,0.0,4,29.86190385074956,0.7053675801753476
J1145+0359,-2.43,8,11.26040852896225,15.0,0.001,300.0,3,2.3531317812454855,0.003228262426704129
J1158+0734,-2.93,8,4.242919222409811,20.0,0.001,300.0,1,2.527393658621282,0.0006040895129200523
J1205+1309,-1.67,7,23.37346901853658,20.0,0.001,300.0,3,2.828076320581907,0.008809003135764647
J1207+2244,-2.76,8,11.051358190631404,40.0,0.01,300.0,4,22.941127674545534,0.1408832757940812
J1208+3954,-2.64,8,5.829500559338627,30.0,0.01,0.0,4,29.86190385074956,0.34503843171759274
J1213+2506,-2.83,6,24.024407589407804,120.0,0.01,300.0,4,70.36897637882832,0.17247023956997468
J1218+2838,-2.13,7,8.320162467807076,30.0,0.001,150.0,1,3.300022507675891,0.06117278745002653
J1221+0907,-2.34,8,11.868124519184647,40.0,0.01,300.0,2,22.941127674545534,0.5068328710303127
J1225-0452,-2.52,8,5.935107495894212,30.0,0.01,0.0,4,29.86190385074956,0.42588695242994434
J1226+2323,-2.47,8,9.579995344779375,40.0,0.01,300.0,2,22.941127674545534,0.3350425906942899
J1236+3424,-2.53,8,5.332434901105549,30.0,0.01,0.0,2,29.86190385074956,0.38902084042912244
J1250-0307,-2.07,7,12.401733232266576,15.0,0.001,300.0,3,2.3531317812454855,0.0028561679714853546
J1300+2632,-1.28,7,31.2425126804113,13.0,0.01,300.0,1,2.0519462064664005,0.0049683730579827695
J1341+3255,-2.81,8,5.494165263077033,20.0,0.001,300.0,3,2.828076320581907,0.0007168921527627843
J1345+0513,-2.69,8,8.425022369949545,30.0,0.001,150.0,3,3.684586428042902,0.011552648020156433
J1352+2646,-3.06,7,10.976340773145076,40.0,0.01,300.0,2,22.941127674545534,0.08628553961427567
J1400+1215,-2.42,7,17.3048064049606,30.0,0.01,0.0,4,29.86190385074956,0.6428448744509777
J1400+4926,-2.58,6,46.578921176870736,30.0,0.01,0.0,4,29.86190385074956,0.24404637377885793
J1413+1727,-3.25,6,10.837318137818132,15.0,0.001,0.0,1,1.802300307483792,0.6037355315372159
J1414+1457,-2.58,8,8.860655389261462,30.0,0.01,0.0,2,29.86190385074956,0.48686470437236407
J1414+1721,-2.45,7,42.28485709156803,30.0,0.01,0.0,2,29.86190385074956,0.39204674691844776
J1423+0322,-2.61,8,13.453667608204917,30.0,0.001,150.0,1,3.300022507675891,0.01877578279656335
J1434+3540,-1.91,9,5.905933326507552,15.0,0.01,300.0,1,2.2177436038999403,0.005329002825068084
J1459+0444,-2.76,8,10.644223444230013,30.0,0.01,0.0,2,29.86190385074956,0.23519433168342335
