property,property,property,property,0,0,0,0,0
name,FeH,N,fitness,mass,energy,mixing,remnant,offset
J1459+0444,-2.76,10,2.397740690445256,10.5,0.6000000000000001,0.003981071705534973,1.434,0.005893024073680711
J1501+3445,-2.61,10,1.831128108820313,11.9,0.6000000000000001,0.015848931924611134,1.666,0.011797758540433445
J1516+0442,-2.33,10,2.9882728494232396,13.4,1.5,0.0,1.576,0.002817038732637585
J1518+2544,-2.15,10,2.3707460367478106,10.7,0.6000000000000001,0.003981071705534973,1.433,0.02640637172292157
J1520+5500,-2.18,10,1.766516352635706,22.5,10.000000000000002,0.01,1.492,0.0012877332776786842
J1523+0714,-2.63,10,1.6583663188711213,13.2,0.9,0.039810717055349734,1.888,0.003909309356477302
J1548+2113,-2.33,9,2.902059432003056,13.2,1.2000000000000002,0.015848931924611134,1.601,0.002955435972267861
J1551+2040,-2.48,8,4.486181684866223,10.6,0.30000000000000004,0.01,1.437,0.025115091829193196
J1604+1305,-2.15,9,1.0394828831589322,11.3,0.9,0.00630957344480193,1.487,0.00970277415641188
J1612-0207,-2.14,10,3.115521996700665,10.6,0.6000000000000001,0.001584893192461114,1.41,0.026553102873072616
J1634+0206,-2.15,10,2.5985578387225425,13.4,1.2000000000000002,0.01,1.59,0.004628786157674517
J1640+1550,-2.89,9,1.9764296944063506,10.6,0.6000000000000001,0.001584893192461114,1.41,0.005081519683311198
J1641+0334,-3.26,5,1.4536504024362729,11.3,0.9,0.00630957344480193,1.487,0.0009219295487465948
J1650+4313,-3.02,8,1.0257770341490242,11.3,0.9,0.00630957344480193,1.487,0.0016402437181847313
J1657+3443,-2.6,10,0.8555163836730021,11.9,0.6000000000000001,0.015848931924611134,1.666,0.014914137031827061
J1702+1732,-2.29,10,0.8891072585114772,11.9,0.6000000000000001,0.015848931924611134,1.666,0.02832318968250757
J1717+2449,-2.45,10,2.6705903411253806,10.5,0.6000000000000001,0.003981071705534973,1.434,0.012084501171874802
J1719+1358,-2.77,10,2.445890035971916,10.6,0.6000000000000001,0.001584893192461114,1.41,0.005702595253575403
J1730+4143,-2.5,10,2.1583113155204963,13.4,1.5,0.0,1.576,0.0019271730204737845
J1745+5410,-2.03,10,0.8960373681861381,13.4,1.5,0.001584893192461114,1.576,0.0049628372401127946
J1833+1309,-2.64,8,1.2668536135567066,10.5,0.6000000000000001,0.0025118864315095794,1.434,0.009150830147844558
J2114-0616,-2.55,9,2.8569191607370388,13.4,0.9,0.025118864315095794,1.657,0.0028938518875841522
J2159+0308,-2.83,9,1.746997105226005,10.9,0.30000000000000004,0.015848931924611134,1.59,0.02780307609893876
J2211+0454,-0.63,7,1.5376413783351863,11.3,0.6000000000000001,0.015848931924611134,1.508,0.4268008915490611
J2216+0246,-2.56,10,2.1050521537374034,10.7,0.6000000000000001,0.003981071705534973,1.433,0.00866817211945195
