property,property,property,property,0,0,0,0,0,0
name,FeH,N,fitness,mass,metallicity,rotation,explosion,remnant,offset
J1434+3540,-1.91,20,19694.22252748051,120.0,0.01,300.0,4,70.36897637882832,0.9999999999999857
J1459+0444,-2.76,25,68142.42205859642,80.0,0.001,300.0,2,52.7990750418934,0.9999999999999858
J1501+3445,-2.61,23,38741.047250701784,80.0,0.001,300.0,2,52.7990750418934,0.9999999999999858
J1516+0442,-2.33,24,90749.87890684676,30.0,0.01,0.0,2,29.86190385074956,0.9999999999999858
J1518+2544,-2.15,23,34060.50565929352,30.0,0.01,0.0,4,29.86190385074956,0.9999999999999857
J1520+5500,-2.18,23,64017.20561441383,30.0,0.01,0.0,2,29.86190385074956,0.9999999999999858
J1523+0714,-2.63,26,73678.8186850564,40.0,0.001,150.0,2,24.602918928344696,0.9999999999999858
J1548+2113,-2.33,22,65613.82092644316,80.0,0.01,0.0,4,78.59782235546902,0.9999999999999857
J1551+2040,-2.48,23,60489.13010318474,120.0,0.01,0.0,4,102.809320935866,0.9999999999999858
J1604+1305,-2.15,25,125050.99626370096,40.0,0.01,0.0,4,39.74756684723496,0.9999999999999859
J1612-0207,-2.14,23,56769.7664083126,120.0,0.01,0.0,4,102.809320935866,0.9999999999999859
J1634+0206,-2.15,23,87041.0754649555,30.0,0.01,0.0,2,29.86190385074956,0.9999999999999858
J1640+1550,-2.89,23,80944.34818040399,80.0,0.001,300.0,2,52.7990750418934,0.9999999999999858
J1641+0334,-3.26,16,14599.883373874922,30.0,0.001,0.0,4,29.979924920493133,0.9999999999999858
J1650+4313,-3.02,20,57806.91194353984,30.0,0.001,0.0,4,29.979924920493133,0.9999999999999858
J1657+3443,-2.6,25,49577.35317926085,80.0,0.001,300.0,2,52.7990750418934,0.9999999999999858
J1702+1732,-2.29,22,29172.63469289369,30.0,0.01,0.0,2,29.86190385074956,0.9999999999999859
J1717+2449,-2.45,27,139571.55219322414,30.0,0.01,0.0,2,29.86190385074956,0.9999999999999857
J1719+1358,-2.77,24,73099.36666709483,80.0,0.001,300.0,2,52.7990750418934,0.9999999999999858
J1730+4143,-2.5,24,69244.30850288038,30.0,0.01,0.0,2,29.86190385074956,0.9999999999999857
J1745+5410,-2.03,24,44663.28598535641,30.0,0.01,0.0,2,29.86190385074956,0.9999999999999858
J1833+1309,-2.64,18,5494.588097443829,80.0,0.001,300.0,2,52.7990750418934,0.9999999999999858
J2114-0616,-2.55,27,141691.04087706923,80.0,0.01,0.0,2,78.59782235546902,0.9999999999999858
J2159+0308,-2.83,25,56426.633614827995,80.0,0.001,300.0,2,52.7990750418934,0.9999999999999857
J2211+0454,-0.63,24,63182.88479503278,80.0,0.001,300.0,3,3.5114451851865027,0.9999999999999858
J2216+0246,-2.56,25,74301.83339403779,80.0,0.01,0.0,2,78.59782235546902,0.9999999999999858
J2256+0215,-2.27,28,69927.27663719094,120.0,0.01,0.0,4,102.809320935866,0.9999999999999858
J2257+3859,-2.65,24,81286.11259344195,60.0,0.01,0.0,2,59.61755581029563,0.9999999999999858
J2333+0505,-2.43,21,15893.686373702198,30.0,0.01,0.0,2,29.86190385074956,0.9999999999999858
J2347+2851,-2.36,25,93200.0698920303,30.0,0.01,0.0,2,29.86190385074956,0.9999999999999858
J2349+3119,-2.01,25,105377.23257596041,30.0,0.01,0.0,2,29.86190385074956,0.9999999999999858
