property,property,property,property,0,0,0,1,1,1,1,1,1
name,FeH,N,fitness,model,age,offset,mass,metallicity,rotation,explosion,remnant,offset
J1122+1223,-2.3,19,13.788162147472688,101,2.7379092627716654e-12,2.6575689981989115e-09,20.0,1.0,150.0,3,2.9312148875955053,0.0009560647698231839
J1145+0359,-2.43,22,4.620699661814953,4,2.7379092627716654e-12,2.9776053844798867e-09,20.0,1.0,150.0,3,2.9312148875955053,0.0007050615913591352
J1158+0734,-2.93,23,3.0804810788552968,101,2.7379092627716654e-12,1.2850129849084624e-09,60.0,0.001,150.0,4,41.935088320313156,0.9779424929780802
J1205+1309,-1.67,21,7.480402263466953,4,13.000000000002737,1.2165261964458551e-08,20.0,1.0,150.0,3,2.9312148875955053,0.003450409008039501
J1207+2244,-2.76,21,6.683351138203678,101,2.7379092627716654e-12,5.567534766548476e-10,25.0,1.0,150.0,3,2.832676263045297,0.0003057051249004683
J1208+3954,-2.64,21,3.5446168430267146,101,13.000000000002737,8.265400586182636e-10,30.0,0.1,150.0,2,25.89694886927741,0.02368672148952833
J1213+2506,-2.83,16,5.722580620034361,33,13.000000000002737,8.362640580017455e-10,25.0,1.0,150.0,1,2.5187746106277373,0.0003082812873848595
J1218+2838,-2.13,18,3.6827239675605425,33,2.7379092627716654e-12,3.6507586398393244e-09,80.0,0.01,300.0,2,47.00710705660149,0.7237428883611144
J1221+0907,-2.34,21,5.665349451932484,101,2.7379092627716654e-12,1.691365270062306e-09,20.0,1.0,150.0,3,2.9312148875955053,0.0011168269580663082
J1225-0452,-2.52,22,5.113391409857286,33,8.000000000002737,1.360615897727513e-09,30.0,0.1,150.0,4,25.89694886927741,0.02400093545076243
J1226+2323,-2.47,22,4.928496274931029,2,2.7379092627716654e-12,5.485378817837727e-10,25.0,1.0,150.0,3,2.832676263045297,0.0006518020011274106
J1236+3424,-2.53,20,5.6666657532014595,101,13.000000000002737,8.481290114659146e-10,30.0,0.1,150.0,2,25.89694886927741,0.02773003000852997
J1250-0307,-2.07,18,9.419753775981501,74,13.000000000002737,6.604786162434095e-09,13.0,0.01,150.0,3,2.1078892357123067,0.002526118163060753
J1300+2632,-1.28,17,11.735421100094612,2,2.7379092627716654e-12,7.31067320014489e-08,30.0,1.0,150.0,4,11.236367792275576,0.06508266583943423
J1341+3255,-2.81,22,3.787392448332692,2,13.000000000002737,8.409105634044067e-10,30.0,0.1,150.0,2,25.89694886927741,0.013812334665415926
J1345+0513,-2.69,21,4.925724036592839,61,13.000000000002737,1.5912717810095955e-09,30.0,0.1,150.0,2,25.89694886927741,0.015926921969183327
J1352+2646,-3.06,19,6.0514347546758644,33,13.000000000002737,2.6257901408754947e-10,60.0,0.001,150.0,4,41.935088320313156,0.7851272819590533
J1400+1215,-2.42,21,7.699520574251905,2,2.7379092627716654e-12,1.3279040644853524e-09,20.0,1.0,150.0,3,2.9312148875955053,0.0006970807147957392
J1400+4926,-2.58,19,8.473771833259706,101,2.7379092627716654e-12,1.3963407097250524e-09,20.0,1.0,150.0,3,2.9312148875955053,0.0004338044094812088
J1413+1727,-3.25,18,3.9342749990154573,33,13.000000000002737,4.2636105757054565e-10,13.0,0.01,150.0,3,2.1078892357123067,0.00023375012843379617
J1414+1457,-2.58,22,3.9073135592237054,101,13.000000000002737,1.1831513546667338e-09,30.0,0.1,150.0,2,25.89694886927741,0.022909496137848095
J1414+1721,-2.45,19,13.167180823923216,2,2.7379092627716654e-12,6.069143521081344e-10,20.0,1.0,150.0,3,2.9312148875955053,0.0007025118542609565
J1423+0322,-2.61,21,8.699868661060163,4,2.7379092627716654e-12,5.153614757169578e-10,20.0,1.0,150.0,3,2.9312148875955053,0.0004244103304699709
J1434+3540,-1.91,18,6.889144706852806,4,13.000000000002737,4.097519668011529e-08,20.0,0.1,150.0,3,2.9726548689122154,0.0035056196154984454
J1459+0444,-2.76,22,5.521147408483429,2,2.7379092627716654e-12,3.5931857489401864e-10,20.0,1.0,150.0,3,2.9312148875955053,0.0003855690405464851
J1501+3445,-2.61,20,5.696844894594769,2,2.7379092627716654e-12,9.46728695438992e-10,20.0,1.0,150.0,3,2.9312148875955053,0.0004362110291126209
J1516+0442,-2.33,21,7.70207698717431,4,2.7379092627716654e-12,8.172418297647255e-10,20.0,1.0,150.0,3,2.9312148875955053,0.0008868316183980873
J1518+2544,-2.15,20,4.807310328927787,73,13.000000000002737,7.1117016720023685e-09,25.0,1.0,150.0,3,2.832676263045297,0.0016163974280988258
