property,property,property,property,0,0,0,1,1,1,1,1,1
name,FeH,N,fitness,model,age,offset,mass,metallicity,rotation,explosion,remnant,offset
J1434+3540,-1.91,18,5.5342952854928935,74,13.000000000002737,1.0035481640136013e-07,30.0,0.1,0.0,4,28.276267169668284,0.11059142239874925
J1459+0444,-2.76,22,2.5075293159147765,101,13.000000000002737,4.4615960925753484e-10,30.0,0.01,0.0,2,29.86190385074956,0.18794117778765218
J1501+3445,-2.61,20,3.4438454196661703,33,13.000000000002737,2.136951449127622e-09,30.0,0.1,0.0,2,28.276267169668284,0.02039243420956155
J1516+0442,-2.33,21,3.702054409709701,101,13.000000000002737,9.31925647762455e-10,30.0,0.01,0.0,2,29.86190385074956,0.4166110230183266
J1518+2544,-2.15,20,7.428882566060595,21,13.000000000002737,1.3907806628576935e-08,30.0,0.1,0.0,2,28.276267169668284,0.08375540586114089
J1520+5500,-2.18,20,5.105870965832892,4,13.000000000002737,3.0448597532206634e-09,30.0,0.1,0.0,2,28.276267169668284,0.07375901751176706
J1523+0714,-2.63,23,2.207964409878318,101,13.000000000002737,1.2516101488557752e-09,30.0,0.01,0.0,4,29.86190385074956,0.17290741777051488
J1548+2113,-2.33,19,10.90775257683018,101,13.000000000002737,7.607217078486883e-10,30.0,0.01,0.0,4,29.86190385074956,0.33807122521342114
J1551+2040,-2.48,20,15.51733676609559,93,2.7379092627716654e-12,1.1287406276316858e-07,30.0,0.1,0.0,3,2.853530638922816,0.002762482447536019
J1604+1305,-2.15,22,4.61575291728556,101,13.000000000002737,2.081656874652893e-08,30.0,0.01,0.0,2,29.86190385074956,0.7828659037814365
J1612-0207,-2.14,20,3.2971562185924506,61,13.000000000002737,1.2853979269866755e-08,60.0,0.1,0.0,4,41.990879566172005,0.07416152742640719
J1634+0206,-2.15,20,4.109053091610098,74,13.000000000002737,5.7848044132668974e-09,30.0,0.01,0.0,4,29.86190385074956,0.754380141132885
J1640+1550,-2.89,20,4.574370151259921,33,13.000000000002737,3.570659323770542e-10,120.0,0.1,0.0,2,50.67397778949373,0.013725633248918623
J1641+0334,-3.26,14,1.0829357906183548,3,13.000000000002737,2.846948066181909e-09,30.0,0.1,0.0,2,28.276267169668284,0.006740338407826174
J1650+4313,-3.02,18,3.383009168106234,101,13.000000000002737,7.946028279803841e-10,30.0,0.1,0.0,2,28.276267169668284,0.012387865891917482
J1657+3443,-2.6,22,3.232057862065267,101,13.000000000002737,1.001507765607812e-09,30.0,0.1,0.0,4,28.276267169668284,0.02448967464158136
J1702+1732,-2.29,19,2.141333126476607,101,2.7379092627716654e-12,3.4019775330129676e-09,30.0,0.01,0.0,2,29.86190385074956,0.47384261254964827
J1717+2449,-2.45,24,6.918905550270007,101,13.000000000002737,6.324330337204032e-09,30.0,0.01,0.0,2,29.86190385074956,0.369945805114215
J1719+1358,-2.77,21,4.329646982899525,33,13.000000000002737,9.737106121399108e-10,30.0,0.01,0.0,2,29.86190385074956,0.17659583081916436
J1730+4143,-2.5,21,3.864849039422169,33,13.000000000002737,1.1068789773638343e-09,30.0,0.01,0.0,4,29.86190385074956,0.3226338555032214
J1745+5410,-2.03,21,2.4831927974561245,33,13.000000000002737,4.173905610027617e-09,30.0,0.01,0.0,2,29.86190385074956,0.8405457903142424
J1833+1309,-2.64,15,2.7314243341828246,33,13.000000000002737,1.5871178260518093e-09,30.0,0.01,0.0,2,29.86190385074956,0.2558859758302648
J2114-0616,-2.55,24,8.56231595085022,3,13.000000000002737,8.277166507753009e-09,40.0,0.1,0.0,2,28.727534369572616,0.02853160441916114
J2159+0308,-2.83,22,1.9166529683115865,101,13.000000000002737,1.0679151452031022e-09,120.0,0.1,0.0,4,50.67397778949373,0.013563675885286675
J2211+0454,-0.63,21,6.998523259669934,3,13.000000000002737,1.6560115000396891e-06,120.0,1.0,0.0,3,5.510397696798066,0.09495906953906724
J2216+0246,-2.56,22,2.871376475710512,33,13.000000000002737,1.0182767962163553e-09,30.0,0.01,0.0,4,29.86190385074956,0.2969944787997212
J2256+0215,-2.27,25,6.591031840715379,4,13.000000000002737,5.525428448116543e-09,80.0,1.0,0.0,3,4.9668031481582915,0.0016880890836611928
J2257+3859,-2.65,21,11.421460515254278,74,13.000000000002737,1.1607941718949633e-08,30.0,0.1,0.0,4,28.276267169668284,0.024422977709998628
J2333+0505,-2.43,18,7.921874396473044,33,13.000000000002737,2.215207184352863e-09,30.0,0.01,0.0,4,29.86190385074956,0.3277122456200799
J2347+2851,-2.36,22,6.5983990234076755,41,13.000000000002737,6.649637063205205e-09,40.0,0.1,0.0,4,28.727534369572616,0.04101560956981931
J2349+3119,-2.01,22,5.496482928407887,101,13.000000000002737,2.920529207361966e-09,30.0,0.01,0.0,4,29.86190385074956,0.8630569860504889
