property,property,property,property,0,0,0
name,FeH,N,fitness,model,age,offset
J1400+1215,-2.42,11,11.666700620998526,61,13.000000000002737,1.0766374236581555e-08
J1400+4926,-2.58,9,16.72326034613173,61,13.000000000002737,4.310762524717404e-09
J1413+1727,-3.25,9,3.4038640264190394,61,13.000000000002737,1.102538227382155e-09
J1414+1457,-2.58,12,4.600978179950086,32,13.000000000002737,6.0550533476089186e-09
J1414+1721,-2.45,9,19.789270818118023,61,13.000000000002737,6.418704845412293e-09
J1423+0322,-2.61,11,7.438762272282717,61,13.000000000002737,6.758882398205657e-09
J1434+3540,-1.91,10,6.517854780399165,74,13.000000000002737,1.1647998227060086e-07
J1459+0444,-2.76,12,5.311758638656779,92,13.000000000002737,2.6107808692721335e-09
J1501+3445,-2.61,10,8.901435582192454,61,13.000000000002737,8.11631933883561e-09
J1516+0442,-2.33,11,6.532974567553742,32,13.000000000002737,5.706535133320756e-09
J1518+2544,-2.15,10,13.662887295835779,21,13.000000000002737,3.115274249676503e-08
J1520+5500,-2.18,10,6.199780199145661,32,13.000000000002737,1.8337538432167122e-08
J1523+0714,-2.63,13,3.654879284062365,41,13.000000000002737,5.479999787283418e-09
J1548+2113,-2.33,10,15.740759631314774,74,13.000000000002737,1.9823324093337646e-09
J1551+2040,-2.48,12,17.659553464891292,93,2.7379092627716654e-12,1.1645716069264012e-07
J1604+1305,-2.15,13,7.0282284424717405,41,13.000000000002737,6.525190665573888e-08
J1612-0207,-2.14,10,9.362577320171583,21,13.000000000002737,2.429682693927404e-08
J1634+0206,-2.15,10,10.716188380368136,32,13.000000000002737,1.8724685024729126e-08
J1640+1550,-2.89,11,14.47066811262351,21,13.000000000002737,2.7897262278031576e-09
J1641+0334,-3.26,9,1.7894979326981684,74,2.7379092627716654e-12,4.409662746063248e-09
J1650+4313,-3.02,10,10.60699987967457,41,13.000000000002737,3.026449757470573e-09
J1657+3443,-2.6,12,9.129804330251208,32,13.000000000002737,5.00207048004242e-09
J1702+1732,-2.29,9,7.691251736992304,32,13.000000000002737,8.886553271025832e-09
J1717+2449,-2.45,14,4.252957340293926,81,13.000000000002737,1.697622237228913e-08
J1719+1358,-2.77,11,6.180882693975167,81,13.000000000002737,3.422936767361051e-09
J1730+4143,-2.5,11,9.313817801589167,21,13.000000000002737,8.775487336798449e-09
J1745+5410,-2.03,11,6.388458920646083,32,13.000000000002737,2.2145521250127587e-08
J1833+1309,-2.64,7,4.395792676948852,61,13.000000000002737,7.452255423867626e-09
J2114-0616,-2.55,15,11.341081778213741,74,13.000000000002737,1.4200915054995988e-08
J2159+0308,-2.83,13,3.5014483909764684,81,13.000000000002737,3.9222032288677156e-09
J2211+0454,-0.63,14,8.718257062436184,74,13.000000000002737,3.2322537326656686e-06
J2216+0246,-2.56,12,8.971251996390349,61,13.000000000002737,7.186647776880051e-09
J2256+0215,-2.27,15,9.764469809741916,74,13.000000000002737,2.0977405423838746e-08
J2257+3859,-2.65,12,14.218550735222516,74,13.000000000002737,1.294794815809297e-08
J2333+0505,-2.43,8,16.054791539435627,61,13.000000000002737,1.0444931308750682e-08
J2347+2851,-2.36,12,5.350833344370118,32,13.000000000002737,1.1380639042268825e-08
